country,year,renewable_share,gdp_growth,gdp_per_capita,energy_import_pct,oil_price,oil_price_change,renewable_x_oil,renewable_group,shock_year
Argentina,2011,8.83,6.003951693,12848.8642,7.23741684026606,111.26427419354839,39.76265626523032,351.1042548219837,"Low
(<25%)",False
Argentina,2012,8.61,-1.026420454,13082.66433,8.11439908863806,111.57068273092369,0.2753880700666622,2.3710912832739615,"Low
(<25%)",False
Argentina,2013,8.91,2.405323781,13080.25473,13.9862181852131,108.555,-2.702934729006401,-24.083148435447033,"Low
(<25%)",False
Argentina,2014,9.79,-2.512615321,12334.79825,14.0678103429199,98.9696062992126,-8.829988209467466,-86.44558457068648,"Low
(<25%)",True
Argentina,2015,9.4,2.731159828,13789.06042,13.5477809878759,52.31654901960784,-47.1387722191797,-443.1044588602892,"Low
(<25%)",True
Argentina,2016,9.38,-2.080327844,12790.24247,11.9993689573056,43.638000000000005,-16.58853495163678,-155.600457846353,"Low
(<25%)",False
Argentina,2017,10.37,2.818502978,14613.04182,13.2189146873857,54.1248046875,24.03135956620377,249.20519870153305,"Low
(<25%)",False
Argentina,2018,10.52,-2.617396463,11795.15939,8.60875532272658,71.335,31.797242339933373,334.5069894160991,"Low
(<25%)",False
Argentina,2019,10.74,-2.025934237,10056.63794,2.49167707965442,64.3198449612403,-9.83409972490319,-105.61823104546026,"Low
(<25%)",False
Armenia,2000,7.16,5.900000003,622.7409229,71.191142301674,28.66067193675889,60.10147666630692,430.32657293075755,"Low
(<25%)",False
Armenia,2001,5.42,9.599999999,694.4234554,72.5653390486394,24.455719844357976,-14.671505614660186,-79.5195604314582,"Low
(<25%)",False
Armenia,2002,8.9,13.2,783.241215,62.9847896646093,24.993254901960782,2.197993193509773,19.56213942223698,"Low
(<25%)",False
Armenia,2003,9.81,14.0,930.1254727,65.8698587202855,28.850813953488373,15.43440046788367,151.4114685899388,"Low
(<25%)",False
Armenia,2004,8.71,10.5,1191.921006,65.6861739120524,38.25969348659004,32.612180537679535,284.0520924831888,"Low
(<25%)",False
Armenia,2005,6.49,13.9,1643.756889,67.2370359807973,54.57455252918288,42.64241962186961,276.74930334593375,"Low
(<25%)",False
Armenia,2006,7.65,13.2,2158.148074,68.0247916141616,65.16176470588235,19.399540053100985,148.40648140622255,"Low
(<25%)",False
Armenia,2007,7.02,13.7,3139.28071,72.8092351995716,72.44116,11.171267885353187,78.42230055517936,"Low
(<25%)",False
Armenia,2008,6.4,6.9,4010.861381,75.1401155903935,96.94434782608695,33.82495231452252,216.47969481294413,"Low
(<25%)",True
Armenia,2009,7.8,-14.1,2994.340471,69.2562497712381,61.73876984126984,-36.31524557571325,-283.2589154905633,"Low
(<25%)",True
Armenia,2010,9.36,2.2,3218.378299,69.6401092559821,79.60944444444445,28.945627924106752,270.9310773696392,"Low
(<25%)",False
Armenia,2011,8.01,4.699999999,3525.807198,69.0180110458366,111.26427419354839,39.76265626523032,318.49887668449486,"Low
(<25%)",False
Armenia,2012,6.56,7.200000001,3681.844691,74.3403810595709,111.57068273092369,0.2753880700666622,1.8065457396373041,"Low
(<25%)",False
Armenia,2013,6.77,3.3,3838.17388,73.6822602294154,108.555,-2.702934729006401,-18.298868115373335,"Low
(<25%)",False
Armenia,2014,7.08,3.600000001,3986.231624,71.6592288400781,98.9696062992126,-8.829988209467466,-62.51631652302966,"Low
(<25%)",True
Armenia,2015,10.74,3.199999999,3607.289299,67.6293163476974,52.31654901960784,-47.1387722191797,-506.27041363398996,"Low
(<25%)",True
Armenia,2016,13.15,0.2,3591.828052,68.2448098805489,43.638000000000005,-16.58853495163678,-218.13923461402368,"Low
(<25%)",False
Armenia,2017,12.56,7.500000002,3914.527854,68.960568280661,54.1248046875,24.03135956620377,301.83387615151935,"Low
(<25%)",False
Armenia,2018,11.13,5.2,4220.540321,72.731773920089,71.335,31.797242339933373,353.90330724345847,"Low
(<25%)",False
Armenia,2019,10.34,7.599999999,4604.646324,74.1707853018448,64.3198449612403,-9.83409972490319,-101.68459115549898,"Low
(<25%)",False
Austria,2000,26.44,3.375722147,24564.45829,66.9003178334892,28.66067193675889,60.10147666630692,1589.083043057155,"Mid
(25-50%)",False
Austria,2001,25.53,1.267168189,24537.51426,66.2726634171934,24.455719844357976,-14.671505614660186,-374.56353834227457,"Mid
(25-50%)",False
Austria,2002,24.68,1.651553922,26401.74546,69.1809721709656,24.993254901960782,2.197993193509773,54.2464720158212,"Low
(<25%)",False
Austria,2003,22.56,0.941470921,32222.89724,72.0728608388597,28.850813953488373,15.43440046788367,348.20007455545556,"Low
(<25%)",False
Austria,2004,23.17,2.735120222,36821.52147,72.736023673147,38.25969348659004,32.612180537679535,755.6242230580349,"Low
(<25%)",False
Austria,2005,24.41,2.244065325,38403.13388,73.3959540550781,54.57455252918288,42.64241962186961,1040.9014629698372,"Low
(<25%)",False
Austria,2006,26.64,3.454041836,40635.28182,73.7930481260843,65.16176470588235,19.399540053100985,516.8037470146103,"Mid
(25-50%)",False
Austria,2007,28.99,3.727415301,46855.77175,70.1725628388934,72.44116,11.171267885353187,323.85505599638884,"Mid
(25-50%)",False
Austria,2008,29.68,1.460423676,51708.76575,70.4770761184034,96.94434782608695,33.82495231452252,1003.9245846950283,"Mid
(25-50%)",True
Austria,2009,31.31,-3.764578178,47963.1794,66.7103875594823,61.73876984126984,-36.31524557571325,-1137.0303389755818,"Mid
(25-50%)",True
Austria,2010,31.15,1.837093677,46858.04327,64.3155771593729,79.60944444444445,28.945627924106752,901.6563098359253,"Mid
(25-50%)",False
Austria,2011,31.64,2.922797284,51374.95841,71.8927591559524,111.26427419354839,39.76265626523032,1258.0904442318874,"Mid
(25-50%)",False
Austria,2012,34.38,0.680445577,48567.69529,65.5205864272438,111.57068273092369,0.2753880700666622,9.467841848891847,"Mid
(25-50%)",False
Austria,2013,34.59,0.025504712,50716.70871,62.8835645832405,108.555,-2.702934729006401,-93.49451227633142,"Mid
(25-50%)",False
Austria,2014,35.67,0.661272849,51717.49594,67.4888818013271,98.9696062992126,-8.829988209467466,-314.96567943170453,"Mid
(25-50%)",True
Austria,2015,34.82,1.014501586,44178.04738,62.1474208451196,52.31654901960784,-47.1387722191797,-1641.372048671837,"Mid
(25-50%)",True
Austria,2016,34.64,1.989437162,45276.83144,64.113786345696,43.638000000000005,-16.58853495163678,-574.6268507246981,"Mid
(25-50%)",False
Austria,2017,33.98,2.258572433,47312.00623,65.9463812391604,54.1248046875,24.03135956620377,816.585598059604,"Mid
(25-50%)",False
Austria,2018,34.11,2.501595119,51461.43322,66.5257775487766,71.335,31.797242339933373,1084.6039362151273,"Mid
(25-50%)",False
Austria,2019,33.77,1.49121085,50114.40111,74.4762818960772,64.3198449612403,-9.83409972490319,-332.09754770998074,"Mid
(25-50%)",False
Bangladesh,2000,59.06,5.293294718,418.0689421,17.6509148650554,28.66067193675889,60.10147666630692,3549.593211912087,"High
(>50%)",False
Bangladesh,2001,55.82,5.077287776,415.0344043,21.1038949568699,24.455719844357976,-14.671505614660186,-818.9634434103316,"High
(>50%)",False
Bangladesh,2002,54.33,3.83312394,413.0802826,19.7062195987588,24.993254901960782,2.197993193509773,119.41697020338596,"High
(>50%)",False
Bangladesh,2003,52.62,4.739567399,446.3106757,19.9285740363967,28.850813953488373,15.43440046788367,812.1581526200387,"High
(>50%)",False
Bangladesh,2004,52.05,5.23953291,475.2919302,17.7920645309499,38.25969348659004,32.612180537679535,1697.4639969862196,"High
(>50%)",False
Bangladesh,2005,50.66,6.535944941,499.4619402,17.9095538204646,54.57455252918288,42.64241962186961,2160.264978043914,"High
(>50%)",False
Bangladesh,2006,48.69,6.671904981,509.6401899,16.1103486776302,65.16176470588235,19.399540053100985,944.563605185487,"Mid
(25-50%)",False
Bangladesh,2007,47.19,7.058599357,558.0518407,15.8299464466906,72.44116,11.171267885353187,527.1721315098168,"Mid
(25-50%)",False
Bangladesh,2008,45.2,6.013789759,634.9870697,15.4943288262154,96.94434782608695,33.82495231452252,1528.887844616418,"Mid
(25-50%)",True
Bangladesh,2009,43.1,5.045124794,702.2644196,14.7404722275885,61.73876984126984,-36.31524557571325,-1565.187084313241,"Mid
(25-50%)",True
Bangladesh,2010,40.28,5.571788188,781.1535777,14.4544547917684,79.60944444444445,28.945627924106752,1165.92989278302,"Mid
(25-50%)",False
Bangladesh,2011,38.41,6.464379123,861.7621622,17.4646380499939,111.26427419354839,39.76265626523032,1527.2836271474964,"Mid
(25-50%)",False
Bangladesh,2012,37.31,6.521458781,883.1171296,18.3559167186151,111.57068273092369,0.2753880700666622,10.274728894187168,"Mid
(25-50%)",False
Bangladesh,2013,37.08,6.013605658,981.8608514,17.9640543283116,108.555,-2.702934729006401,-100.22481975155735,"Mid
(25-50%)",False
Bangladesh,2014,35.32,6.061059359,1118.873808,19.6289634401405,98.9696062992126,-8.829988209467466,-311.8751835583909,"Mid
(25-50%)",True
Bangladesh,2015,31.93,6.552639879,1248.45331,20.4002085391355,52.31654901960784,-47.1387722191797,-1505.1409969584079,"Mid
(25-50%)",True
Bangladesh,2016,30.49,7.113478213,1401.564635,21.6719159236748,43.638000000000005,-16.58853495163678,-505.7844306754054,"Mid
(25-50%)",False
Bangladesh,2017,28.36,7.284174423,1563.767819,23.889970217061,54.1248046875,24.03135956620377,681.5293572975388,"Mid
(25-50%)",False
Bangladesh,2018,26.88,7.86375358,1698.132081,24.5741159464946,71.335,31.797242339933373,854.709874097409,"Mid
(25-50%)",False
Bangladesh,2019,24.75,8.152684149,1855.740094,30.2974940894337,64.3198449612403,-9.83409972490319,-243.39396819135396,"Low
(<25%)",False
Belarus,2000,5.65,5.80000344,1276.493985,85.4915862800884,28.66067193675889,60.10147666630692,339.57334316463414,"Low
(<25%)",False
Belarus,2001,6.26,4.725305994,1244.373185,84.9222121773456,24.455719844357976,-14.671505614660186,-91.84362514777276,"Low
(<25%)",False
